Designator,Mid X,Mid Y,Rotation,Layer
C1,89.296875,-72.628125,270.0,top
C2,89.296875,-65.484375,90.0,top
C3,203.596875,-66.675,90.0,top
C4,203.596875,-73.81875,270.0,top
E1,76.06,-67.1025,0.0,top
E2,216.13,-67.1225,0.0,top
MX1,146.08,-58.340625,0.0,bottom
MX2,96.05,-100.38,0.0,bottom
MX3,129.39,-100.35,0.0,bottom
MX4,162.74,-100.35,0.0,bottom
MX5,196.07,-100.35,0.0,bottom
MX6,112.73,-138.47,0.0,bottom
MX7,179.41,-138.47,0.0,bottom
SW1,146.13,-118.97,0.0,top
